ariba	pubmlst_species	schema
Clostridioides difficile	Clostridioides difficile	default
Clostridium botulinum	Clostridium botulinum	default
Clostridium septicum	Clostridium septicum	default
Corynebacterium diphtheriae	Corynebacterium diphtheriae	default
Cronobacter spp.	Cronobacter sakazakii	default
Cronobacter spp.	Cronobacter malonaticus	default
Cronobacter spp.	Cronobacter dublinensis	default
Cronobacter spp.	Cronobacter turicensis	default
Cronobacter spp.	Cronobacter muytjensii	default
Cronobacter spp.	Cronobacter universalis	default
Cronobacter spp.	Cronobacter condimenti	default
Cronobacter spp.	Cronobacter	default
Dichelobacter nodosus	Dichelobacter nodosus	default
Edwardsiella spp.	Edwardsiella piscicida	default
Edwardsiella spp.	Edwardsiella ictaluri	default
Edwardsiella spp.	Edwardsiella tarda	default
Edwardsiella spp.	Edwardsiella anguillarum	default
Edwardsiella spp.	Edwardsiella hoshinae	default
Edwardsiella spp.	Edwardsiella	default
Enterobacter cloacae	Enterobacter cloacae	default
Enterococcus faecalis	Enterococcus faecalis	default
Enterococcus faecium	Enterococcus faecium	default
Escherichia coli#1	Escherichia coli	achtman
Escherichia coli#2	Escherichia coli	pasteur
Flavobacterium psychrophilum	Flavobacterium psychrophilum	default
Gallibacterium anatis	Gallibacterium anatis	default
Haemophilus influenzae	Haemophilus influenzae	default
Haemophilus parasuis	Haemophilus parasuis	default
Helicobacter cinaedi	Helicobacter cinaedi	default
Helicobacter pylori	Helicobacter pylori	default
Helicobacter suis	Helicobacter suis	default
Kingella kingae	Kingella kingae	default
Klebsiella aerogenes	Klebsiella aerogenes	default
Klebsiella oxytoca	Klebsiella oxytoca	default
Klebsiella pneumoniae	Klebsiella pneumoniae	default
Kudoa septempunctata	Kudoa septempunctata	default
Lactobacillus salivarius	Lactobacillus salivarius	default
Leptospira spp.	Leptospira interrogans	scheme_1
Leptospira spp.	Leptospira borgpetersenii	scheme_1
Leptospira spp.	Leptospira santarosai	scheme_1
Leptospira spp.	Leptospira kirschneri	scheme_1
