ERX271990	Lactobacillus fermentum
SRX963035	Lactobacillus fermentum
ERX178665	Lactobacillus fermentum
ERX1275930	Lactobacillus fermentum
ERX1275841	Lactobacillus fermentum
SRX4636333	Lactobacillus fermentum
ERX271976	Lactobacillus fermentum
ERX450878	Lactobacillus fermentum
SRX5620999	Lactobacillus fermentum
ERX529235	Lactobacillus fermentum
SRX2239653	Lactobacillus fermentum
ERX178722	Lactobacillus fermentum
SRX7042531	Lactobacillus fermentum
ERX178737	Lactobacillus fermentum
ERX178667	Lactobacillus fermentum
ERX178662	Lactobacillus fermentum
ERX529127	Lactobacillus fermentum
ERX529131	Lactobacillus fermentum
ERX529123	Lactobacillus fermentum
ERX529148	Lactobacillus fermentum
ERX529145	Lactobacillus fermentum
ERX529129	Lactobacillus fermentum
ERX529142	Lactobacillus fermentum
ERX529135	Lactobacillus fermentum
ERX529138	Lactobacillus fermentum
SRX2268582	Lactobacillus fermentum
SRX2268580	Lactobacillus fermentum
ERX529178	Lactobacillus fermentum
ERX529118	Lactobacillus fermentum
ERX529119	Lactobacillus fermentum
ERX178715	Lactobacillus fermentum
ERX359692	Lactobacillus fermentum
ERX178726	Lactobacillus fermentum
ERX529236	Lactobacillus fermentum
ERX529211	Lactobacillus fermentum
ERX529116	Lactobacillus fermentum
ERX980026	Lactobacillus fermentum
ERX529163	Lactobacillus fermentum
ERX529164	Lactobacillus fermentum
DRX040364	Lactobacillus gorillae
SRX456252	Lactobacillus coleohominis
ERX359767	Lactobacillus secaliphilus
ERX359729	Lactobacillus ingluviei
SRX456260	Lactobacillus ingluviei
ERX359778	Lactobacillus ingluviei
SRX456264	Lactobacillus mucosae
ERX529198	Lactobacillus mucosae
ERX529200	Lactobacillus mucosae
DRX061150	Lactobacillus mucosae
DRX061122	Lactobacillus mucosae
ERX529264	Lactobacillus mucosae
DRX061132	Lactobacillus mucosae
DRX061126	Lactobacillus mucosae
DRX061143	Lactobacillus mucosae
DRX061124	Lactobacillus mucosae
DRX061120	Lactobacillus mucosae
DRX061159	Lactobacillus mucosae
DRX061128	Lactobacillus mucosae
DRX061116	Lactobacillus mucosae
ERX529251	Lactobacillus mucosae
ERX529253	Lactobacillus mucosae
ERX529258	Lactobacillus mucosae
ERX529257	Lactobacillus mucosae
DRX061115	Lactobacillus mucosae
SRX2155606	Lactobacillus mucosae
SRX2155608	Lactobacillus mucosae
SRX2155629	Lactobacillus mucosae
SRX690303	Lactobacillus hokkaidonensis
DRX022186	Lactobacillus hokkaidonensis
ERX359748	Lactobacillus oligofermentans
SRX456287	Lactobacillus oligofermentans
SRX456334	Lactobacillus suebicus
ERX359731	Lactobacillus vaccinostercus
SRX456243	Lactobacillus vaccinostercus
SRX456296	Lactobacillus buchneri
SRX5705607	Lactobacillus buchneri
SRX5705610	Lactobacillus buchneri
SRX5705618	Lactobacillus buchneri
SRX5705613	Lactobacillus buchneri
SRX5705608	Lactobacillus buchneri
SRX5705611	Lactobacillus buchneri
SRX5705609	Lactobacillus buchneri
SRX5705620	Lactobacillus buchneri
SRX5705617	Lactobacillus buchneri
ERX529199	Lactobacillus buchneri
DRX058277	Lactobacillus parakefiri
ERX359743	Lactobacillus otakiensis
SRX456323	Lactobacillus otakiensis
ERX359775	Lactobacillus sunkii
SRX456335	Lactobacillus sunkii
SRX456313	Lactobacillus kefiri
ERX359693	Lactobacillus kefiri
SRX456326	Lactobacillus kefiri
ERX271957	Lactobacillus parabuchneri
ERX450859	Lactobacillus parabuchneri
SRX456268	Lactobacillus parabuchneri
ERX359730	Lactobacillus parabuchneri
ERX450858	Lactobacillus parabuchneri
ERX271956	Lactobacillus parabuchneri
ERX178728	Lactobacillus parabuchneri
ERX529223	Lactobacillus parabuchneri
SRX456316	Lactobacillus kisonensis
SRX456330	Lactobacillus rapi
ERX359746	Lactobacillus rapi
SRX456302	Lactobacillus diolivorans
ERX359710	Lactobacillus diolivorans
SRX456359	Lactobacillus farraginis
ERX359697	Lactobacillus farraginis
