study_accession sample_accession    experiment_accession
PRJEB3060	SAMEA2173700	ERX359724
PRJEB3060	SAMEA2173700	ERX450946
PRJEB3060	SAMEA2173701	ERX359725
PRJEB3060	SAMEA2173702	ERX359726
PRJEB3060	SAMEA2173704	ERX359728
PRJEB3060	SAMEA2173705	ERX359729
PRJEB3060	SAMEA2173706	ERX359730
PRJEB3060	SAMEA2173707	ERX359731
PRJEB3060	SAMEA2173708	ERX359732
PRJEB3060	SAMEA2173709	ERX359733
PRJEB3060	SAMEA2173710	ERX359734
PRJEB3060	SAMEA2173711	ERX359735
PRJEB3060	SAMEA2173712	ERX359736
PRJEB3060	SAMEA2173713	ERX359737
PRJEB3060	SAMEA2173714	ERX359738
PRJEB3060	SAMEA2173715	ERX359739
PRJEB3060	SAMEA2173716	ERX359740
PRJEB3060	SAMEA2173717	ERX359741
PRJEB3060	SAMEA2173718	ERX359742
PRJEB3060	SAMEA2173719	ERX359743
PRJEB3060	SAMEA2173720	ERX359744
PRJEB3060	SAMEA2173721	ERX359745
PRJEB3060	SAMEA2173722	ERX359746
PRJEB3060	SAMEA2173723	ERX359747
PRJEB3060	SAMEA2173724	ERX359748
PRJEB3060	SAMEA2173725	ERX359749
PRJEB3060	SAMEA2173726	ERX359750
PRJEB3060	SAMEA2173727	ERX359751
PRJEB3060	SAMEA2173728	ERX359752
PRJEB3060	SAMEA2173730	ERX359754
PRJEB3060	SAMEA2173731	ERX359755
PRJEB3060	SAMEA2173732	ERX359756
PRJEB3060	SAMEA2173733	ERX359757
PRJEB3060	SAMEA2173734	ERX359758
PRJEB3060	SAMEA2173735	ERX359759
PRJEB3060	SAMEA2173736	ERX359760
PRJEB3060	SAMEA2173737	ERX359761
PRJEB3060	SAMEA2173738	ERX359762
PRJEB3060	SAMEA2173739	ERX359763
PRJEB3060	SAMEA2173740	ERX359764
PRJEB3060	SAMEA2173741	ERX359765
PRJEB3060	SAMEA2173743	ERX359767
PRJEB3060	SAMEA2173744	ERX359768
PRJEB3060	SAMEA2173745	ERX359769
PRJEB3060	SAMEA2173746	ERX359770
PRJEB3060	SAMEA2173747	ERX359771
PRJEB3060	SAMEA2173748	ERX359772
PRJEB3060	SAMEA2173749	ERX359773
PRJEB3060	SAMEA2173750	ERX359774
PRJEB3060	SAMEA2173750	ERX450947
PRJEB3060	SAMEA2173751	ERX359775
PRJEB3060	SAMEA2173752	ERX359776
PRJEB3060	SAMEA2173753	ERX359777
PRJEB3060	SAMEA2173754	ERX359778
PRJEB3060	SAMEA2173755	ERX359779
PRJEB3060	SAMEA2173756	ERX359780
PRJEB3060	SAMEA2173759	ERX359783
PRJEB3060	SAMEA2201861	ERX399736
PRJEB3060	SAMEA2201862	ERX399738
PRJEB3060	SAMEA2203395	ERX399737
PRJEB3060	SAMEA2203396	ERX405609
PRJEB3060	SAMEA2203397	ERX399739
PRJEB3060	SAMEA2203398	ERX399740
PRJEB3060	SAMEA2203399	ERX399741
PRJEB3060	SAMEA2203400	ERX399742
PRJEB3060	SAMEA2203401	ERX399743
PRJEB3060	SAMEA2203402	ERX399744
PRJEB3060	SAMEA2203403	ERX399745
PRJEB3060	SAMEA2203404	ERX399746
PRJEB3060	SAMEA2203405	ERX399747
PRJEB3060	SAMEA2203406	ERX399748
PRJEB3060	SAMEA2203407	ERX399749
PRJEB3060	SAMEA2203408	ERX405610
PRJEB3060	SAMEA2203409	ERX399750
PRJEB3060	SAMEA2203410	ERX399751
PRJEB3060	SAMEA2203411	ERX399752
PRJEB3060	SAMEA2203412	ERX399753
PRJEB3060	SAMEA2203413	ERX399754
PRJEB3060	SAMEA2203414	ERX399755
PRJEB3060	SAMEA2203415	ERX399756
PRJEB3060	SAMEA2203416	ERX399757
PRJEB3060	SAMEA2203417	ERX399758
PRJEB3060	SAMEA2203418	ERX399759
